n_objects,coverage_rate,container,shape,padding,alpha,beta,n_threads,i,run_time,setup_time,n_total_steps,object_scales,time_per_step,iterations_per_step,fails_per_step,errors_per_step,implementation
4,0.3,cube,rbc_normal,0,0.1,0.2,128,0,0.29709839820861816,5.0067901611328125e-06,0,"[1.0, 1.0, 1.0]",[],[],[],[],cellpack
4,0.3,cube,rbc_normal,0,0.1,0.2,128,1,0.27514028549194336,3.5762786865234375e-06,0,"[1.0, 1.0, 1.0]",[],[],[],[],cellpack
4,0.3,cube,rbc_normal,0,0.1,0.2,128,2,0.2936713695526123,2.86102294921875e-06,0,"[1.0, 1.0, 1.0]",[],[],[],[],cellpack
4,0.3,cube,rbc_normal,0,0.1,0.2,128,3,0.22640037536621094,3.814697265625e-06,0,"[1.0, 1.0, 1.0]",[],[],[],[],cellpack
4,0.3,cube,rbc_normal,0,0.1,0.2,128,4,0.29216623306274414,3.814697265625e-06,0,"[1.0, 1.0, 1.0]",[],[],[],[],cellpack
4,0.3,cube,rbc_normal,0,0.1,0.2,128,5,0.2990109920501709,1.6689300537109375e-06,0,"[1.0, 1.0, 1.0]",[],[],[],[],cellpack
4,0.3,cube,rbc_normal,0,0.1,0.2,128,6,0.16060805320739746,1.6689300537109375e-06,0,"[1.0, 1.0, 1.0]",[],[],[],[],cellpack
4,0.3,cube,rbc_normal,0,0.1,0.2,128,7,0.2853693962097168,2.1457672119140625e-06,0,"[1.0, 1.0, 1.0]",[],[],[],[],cellpack
4,0.3,cube,rbc_normal,0,0.1,0.2,128,8,0.3842337131500244,1.430511474609375e-06,0,"[1.0, 1.0, 1.0]",[],[],[],[],cellpack
4,0.3,cube,rbc_normal,0,0.1,0.2,128,9,0.5708422660827637,1.9073486328125e-06,0,"[1.0, 1.0, 1.0]",[],[],[],[],cellpack
8,0.3,cube,rbc_normal,0,0.1,0.2,128,0,0.3615689277648926,1.6689300537109375e-06,0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",[],[],[],[],cellpack
8,0.3,cube,rbc_normal,0,0.1,0.2,128,1,0.6487953662872314,1.6689300537109375e-06,0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",[],[],[],[],cellpack
8,0.3,cube,rbc_normal,0,0.1,0.2,128,2,0.20096564292907715,2.1457672119140625e-06,0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",[],[],[],[],cellpack
8,0.3,cube,rbc_normal,0,0.1,0.2,128,3,0.34035778045654297,1.9073486328125e-06,0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",[],[],[],[],cellpack
8,0.3,cube,rbc_normal,0,0.1,0.2,128,4,0.4559750556945801,1.9073486328125e-06,0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",[],[],[],[],cellpack
8,0.3,cube,rbc_normal,0,0.1,0.2,128,5,0.46388721466064453,1.6689300537109375e-06,0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",[],[],[],[],cellpack
8,0.3,cube,rbc_normal,0,0.1,0.2,128,6,0.26192522048950195,1.9073486328125e-06,0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",[],[],[],[],cellpack
8,0.3,cube,rbc_normal,0,0.1,0.2,128,7,0.6837048530578613,2.1457672119140625e-06,0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",[],[],[],[],cellpack
8,0.3,cube,rbc_normal,0,0.1,0.2,128,8,0.2673947811126709,2.1457672119140625e-06,0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",[],[],[],[],cellpack
8,0.3,cube,rbc_normal,0,0.1,0.2,128,9,1.0863468647003174,1.6689300537109375e-06,0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",[],[],[],[],cellpack
16,0.3,cube,rbc_normal,0,0.1,0.2,128,0,0.7565469741821289,1.1920928955078125e-06,0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",[],[],[],[],cellpack
16,0.3,cube,rbc_normal,0,0.1,0.2,128,1,0.5417609214782715,1.6689300537109375e-06,0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",[],[],[],[],cellpack
16,0.3,cube,rbc_normal,0,0.1,0.2,128,2,0.26741862297058105,2.1457672119140625e-06,0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",[],[],[],[],cellpack
16,0.3,cube,rbc_normal,0,0.1,0.2,128,3,0.3766505718231201,1.9073486328125e-06,0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",[],[],[],[],cellpack
16,0.3,cube,rbc_normal,0,0.1,0.2,128,4,0.5107161998748779,1.6689300537109375e-06,0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",[],[],[],[],cellpack
16,0.3,cube,rbc_normal,0,0.1,0.2,128,5,0.6092612743377686,1.9073486328125e-06,0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",[],[],[],[],cellpack
16,0.3,cube,rbc_normal,0,0.1,0.2,128,6,0.7669355869293213,1.9073486328125e-06,0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",[],[],[],[],cellpack
16,0.3,cube,rbc_normal,0,0.1,0.2,128,7,1.0774974822998047,2.86102294921875e-06,0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",[],[],[],[],cellpack
16,0.3,cube,rbc_normal,0,0.1,0.2,128,8,0.36582112312316895,5.7220458984375e-06,0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",[],[],[],[],cellpack
16,0.3,cube,rbc_normal,0,0.1,0.2,128,9,0.8465216159820557,4.291534423828125e-06,0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",[],[],[],[],cellpack
32,0.3,cube,rbc_normal,0,0.1,0.2,128,0,0.20652174949645996,1.9073486328125e-06,0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",[],[],[],[],cellpack
32,0.3,cube,rbc_normal,0,0.1,0.2,128,1,0.6729888916015625,2.1457672119140625e-06,0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",[],[],[],[],cellpack
32,0.3,cube,rbc_normal,0,0.1,0.2,128,2,0.3954017162322998,5.245208740234375e-06,0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",[],[],[],[],cellpack
32,0.3,cube,rbc_normal,0,0.1,0.2,128,3,0.1403214931488037,1.6689300537109375e-06,0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",[],[],[],[],cellpack
32,0.3,cube,rbc_normal,0,0.1,0.2,128,4,1.3952443599700928,1.430511474609375e-06,0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",[],[],[],[],cellpack
32,0.3,cube,rbc_normal,0,0.1,0.2,128,5,0.408358097076416,1.9073486328125e-06,0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",[],[],[],[],cellpack
32,0.3,cube,rbc_normal,0,0.1,0.2,128,6,0.15511775016784668,1.6689300537109375e-06,0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",[],[],[],[],cellpack
32,0.3,cube,rbc_normal,0,0.1,0.2,128,7,0.3298344612121582,1.6689300537109375e-06,0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",[],[],[],[],cellpack
32,0.3,cube,rbc_normal,0,0.1,0.2,128,8,0.391263484954834,4.5299530029296875e-06,0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",[],[],[],[],cellpack
32,0.3,cube,rbc_normal,0,0.1,0.2,128,9,0.34096503257751465,1.6689300537109375e-06,0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",[],[],[],[],cellpack
64,0.3,cube,rbc_normal,0,0.1,0.2,128,0,0.4506409168243408,1.430511474609375e-06,0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",[],[],[],[],cellpack
64,0.3,cube,rbc_normal,0,0.1,0.2,128,1,0.4829859733581543,2.1457672119140625e-06,0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",[],[],[],[],cellpack
64,0.3,cube,rbc_normal,0,0.1,0.2,128,2,0.5821547508239746,1.1920928955078125e-06,0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",[],[],[],[],cellpack
64,0.3,cube,rbc_normal,0,0.1,0.2,128,3,0.1852397918701172,2.6226043701171875e-06,0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",[],[],[],[],cellpack
64,0.3,cube,rbc_normal,0,0.1,0.2,128,4,0.2999124526977539,1.430511474609375e-06,0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",[],[],[],[],cellpack
